round,val_pr_auc,val_f1_tuned,test_pr_auc,test_f1_tuned,blocks,K,comm_total_mb,e2e_sec,best_threshold,test_roc_auc,test_acc
1,0.0008647764331409443,0.0033316909504704255,0.0008711892325347144,0.0032851511169513796,2,2,0.061881065368652344,1.9575459957122803,0.45,0.08737728100858967,0.0019502337930872437
2,0.0024285523859708382,0.0033309875674407694,0.003509761828180726,0.0033309875674407694,4,2,0.062088966369628906,1.5283544063568115,0.01,0.17451124559444786,0.0016682722808336662
3,0.0008707309853147094,0.003331221995448894,0.0008770454800800632,0.0032843804250926663,6,2,0.06209278106689453,1.4372878074645996,0.45,0.09940254878925217,0.0017152658662092624
4,0.056651435839081575,0.11904761904761904,0.08234816814848067,0.125,8,2,0.057623863220214844,1.5350658893585205,0.53,0.3698837252473607,0.9983552245118541
5,0.03181918997636153,0.05063291139240506,0.0662097836164746,0.07692307692307693,10,2,0.05377960205078125,1.4806644916534424,0.53,0.37032461195339994,0.9983082309264786
6,0.1731550004946093,0.2247191011235955,0.28047424154193346,0.3877551020408163,12,2,0.05044364929199219,1.5286309719085693,0.53,0.6054455143589839,0.9985901924387321
7,0.18704778712109824,0.22727272727272727,0.2846785253557586,0.32608695652173914,14,2,0.04793262481689453,1.453489065170288,0.53,0.6256427664082783,0.9985431988533565
8,0.293892698520875,0.3541666666666667,0.38933654401594,0.5,16,2,0.04628467559814453,1.5620627403259277,0.53,0.7261974217741016,0.9987311731948589
9,0.331849273371074,0.3877551020408163,0.4252948741666855,0.5094339622641509,18,2,0.044857025146484375,1.5212030410766602,0.53,0.7527389672245486,0.9987781667802345
10,0.4457807030557677,0.43564356435643564,0.5133309141817679,0.5454545454545454,20,2,0.043618202209472656,1.5617897510528564,0.53,0.8031086159207174,0.9988251603656101
11,0.4692277761697207,0.5660377358490566,0.5346422118071973,0.5465116279069767,22,2,0.042550086975097656,1.5099976062774658,0.51,0.8159871486497596,0.9981672501703518
12,0.5149367866559627,0.562874251497006,0.5778606812333785,0.5780346820809249,24,2,0.04161548614501953,1.5716257095336914,0.51,0.8373522532294122,0.9982847341337907
13,0.5316251190652115,0.6140350877192983,0.5972166271791979,0.6829268292682927,26,2,0.04084968566894531,1.5125744342803955,0.53,0.8470878935825459,0.9990836250851759
14,0.5706477114612368,0.7049180327868853,0.6146915345584664,0.71875,28,2,0.04015064239501953,1.5745060443878174,0.53,0.8551604297219961,0.9991541154632393
15,0.586358750807871,0.7317073170731707,0.6198704485801475,0.71875,30,2,0.03957557678222656,1.573678970336914,0.53,0.8587132141370157,0.9991541154632393
16,0.6120490715180726,0.746031746031746,0.6303548682703615,0.7851851851851852,32,2,0.039076805114746094,1.5016074180603027,0.53,0.8630478265942861,0.9993185930120538
17,0.6129596590470411,0.752,0.6327753029311097,0.7851851851851852,34,2,0.039008140563964844,1.5684516429901123,0.53,0.865653864819495,0.9993185930120538
18,0.6194587593690557,0.78125,0.6380513868668268,0.7883211678832117,36,2,0.03901386260986328,1.5220074653625488,0.53,0.8693670922162612,0.9993185930120538
19,0.6254452082558409,0.78125,0.6383187399988882,0.7883211678832117,38,2,0.039010047912597656,1.5742769241333008,0.53,0.8727160079664582,0.9993185930120538
20,0.6289256567634532,0.7906976744186046,0.6415112514314103,0.7883211678832117,40,2,0.038977622985839844,1.496746301651001,0.53,0.87248727726934,0.9993185930120538
