round,val_pr_auc,val_f1_tuned,test_pr_auc,test_f1_tuned,blocks,K,comm_total_mb,e2e_wall_sec,e2e_parallel_proxy_sec,best_threshold,test_roc_auc,test_acc
1,0.0009605899999121353,0.0033309875674407694,0.0010104852821627363,0.0033309875674407694,2,2,0.028281211853027344,1.7420735359191895,0.15676379203796387,0.01,0.1233274482140442,0.0016682722808336662
2,0.001527858515532519,0.0033309875674407694,0.0017045260436627384,0.0033309875674407694,4,2,0.02849102020263672,1.2150275707244873,0.13293695449829102,0.01,0.14101214327956063,0.0016682722808336662
3,0.007939339858438156,0.023809523809523808,0.010960095421320835,0.04819277108433735,6,2,0.02853870391845703,1.2986979484558105,0.2033686637878418,0.53,0.19927697895147198,0.9981437533776639
4,0.017596482423950052,0.09195402298850575,0.02675863003995206,0.09411764705882353,8,2,0.02847766876220703,1.222928524017334,0.13412213325500488,0.53,0.31097662040781693,0.9981907469630396
5,0.06384251709031213,0.1111111111111111,0.06881880770852325,0.13793103448275862,10,2,0.02850818634033203,1.316627025604248,0.21559476852416992,0.53,0.4514368265704186,0.9982377405484152
6,0.10626854276752158,0.16666666666666666,0.15152584904537808,0.1956521739130435,12,2,0.02853107452392578,1.2402408123016357,0.15076971054077148,0.53,0.5706446360331069,0.998261237341103
7,0.1623498080551378,0.26,0.24137982516266984,0.37735849056603776,14,2,0.02850627899169922,1.2396094799041748,0.15333962440490723,0.53,0.6639102407705506,0.9984492116826054
8,0.24512393796161858,0.33962264150943394,0.33872212689506065,0.44036697247706424,16,2,0.028479576110839844,1.334533929824829,0.2395462989807129,0.53,0.7428708951127212,0.9985666956460443
9,0.3410654032975758,0.411214953271028,0.42623720977989454,0.4778761061946903,18,2,0.02852344512939453,1.2453970909118652,0.1633899211883545,0.53,0.7919263367817525,0.9986136892314199
10,0.4185175578438938,0.43636363636363634,0.4802805247550426,0.5853658536585366,20,2,0.02852344512939453,1.251051425933838,0.16705560684204102,0.53,0.8190592671070671,0.9988016635729223
11,0.45479450963022233,0.5254237288135594,0.5095711412279166,0.640625,22,2,0.02845478057861328,1.3297741413116455,0.23874163627624512,0.53,0.8329481928285966,0.9989191475363612
12,0.4879773802925975,0.5984251968503937,0.5446251908522678,0.6515151515151515,24,2,0.02847766876220703,1.2570362091064453,0.1667788028717041,0.53,0.8392411046963384,0.9989191475363612
13,0.5416510313289769,0.6564885496183206,0.5749676844194362,0.6814814814814815,26,2,0.02852153778076172,1.3221781253814697,0.23538446426391602,0.53,0.8496035997570814,0.9989896379144246
14,0.5791125889841634,0.7014925373134329,0.5924349399412467,0.6911764705882353,28,2,0.02852153778076172,1.2598578929901123,0.16473770141601562,0.53,0.8560485015155896,0.9990131347071125
15,0.6114416054912742,0.706766917293233,0.6047510525723421,0.7194244604316546,30,2,0.028494834899902344,1.2555396556854248,0.16529631614685059,0.53,0.8684379151959394,0.9990836250851759
16,0.6286945102310549,0.7407407407407407,0.6201890274903215,0.75177304964539,32,2,0.02851581573486328,1.3194825649261475,0.23516082763671875,0.53,0.8762097864914965,0.999177612255927
17,0.6325161507087773,0.7555555555555555,0.6272542014696202,0.7571428571428571,34,2,0.02849292755126953,1.2580664157867432,0.16458463668823242,0.53,0.8809111967985658,0.9992011090486148
18,0.6361527678380526,0.75,0.6344190806321618,0.7464788732394366,36,2,0.028464317321777344,1.247572422027588,0.1623837947845459,0.53,0.8843439804710393,0.9991541154632393
19,0.6373326948542603,0.768,0.6490705715830908,0.7761194029850746,38,2,0.028489112854003906,1.337395191192627,0.23332524299621582,0.55,0.8876821226739082,0.9992950962193661
20,0.6415404505694516,0.78125,0.6490932701413891,0.7761194029850746,40,2,0.028466224670410156,1.2756600379943848,0.17849326133728027,0.55,0.8906249585632795,0.9992950962193661
